n_cols,bs_100,bs_5,bs_50,bs_500
500,1.749696,13.476578,2.014535,3.087944
1000,4.196078,48.339982,5.890297,4.133703
1500,7.570732,105.454711,12.493632,5.722374
2000,12.045589,188.173458,21.464413,6.800163
2500,19.408144,288.062964,31.813826,8.995289
