rank,lupp,os,qr,svd,svds
500,0.5,0.57,0.48,0.0463,0.04639
1000,0.05,0.05,0.04,0.00215,0.00215
1500,0.0032,0.0037,0.003,9.98E-05,1E-04
2000,1.98E-04,2.21E-04,1.9E-04,4.63E-06,5.0899E-06
2500,1.19E-05,1.33E-05,1.1E-05,2.15E-07,3.08E-07
3000,6.54E-07,7E-07,6.09E-07,9.97E-09,nan
3500,3.36E-08,3.96E-08,3.33E-08,4.625E-10,nan
4000,1.93E-09,2.09E-09,1.76E-09,2.14E-11,nan
4500,1.03E-10,1.12E-10,9.61E-11,9.95E-13,nan
5000,7.1758E-12,5.74E-12,5.31E-12,4.6195E-14,nan
