mat_label,matrix_size,n_cols,LUPP_sketch_cur,svds,LUPP_iterative_cur
bayer08,3008,250,3.79781666958754e-9,3.2997316394986702e-9,NA
bayer08,3008,500,NA,NA,2.82918966963427e-9
