mat_label,matrix_size,n_cols,LUPP_iterative_cur,LUPP_sketch_cur,svds
ct20stif,52329,500,6.213415,5.907155,35.806604
ct20stif,52329,1000,2.985951,7.284032,80.718005
ct20stif,52329,2000,11.185149,13.250968,205.602036
ct20stif,52329,3000,45.813592,58.588123,300.113884
ct20stif,52329,4000,176.601495,135.314096,407.60426
