method,n_rows,block_size,time,mean_acc,median_acc,var_acc,max_acc,min_acc
QRPP_iterative_cur,40,40,0.001603487500000001,0.06143755372022249,0.06143755372022249,4.260202353234598e-4,0.0947211440313288,0.0326972882546648
QRPP_iterative_cur,80,40,0.002722320833333332,0.002623662895997935,0.002623662895997935,6.258597313603772e-7,0.00383087767425167,0.00122216088454221
QRPP_iterative_cur,120,40,0.003664958333333333,1.623692500614628e-4,1.623692500614628e-4,2.279250711203016e-9,2.5030290434798e-4,9.46666433561079e-5
QRPP_iterative_cur,160,40,0.005827437500000004,9.58750942175306e-6,9.58750942175306e-6,4.6972090929192744e-12,1.23973121979828e-5,5.72338729277022e-6
