method,n_rows,block_size,time,mean_acc,median_acc,var_acc,max_acc,min_acc
LUPP_sketch_cur,40,1,8.34874999999997e-4,0.03375607150957059,0.03375607150957059,3.3905103456682807e-4,0.0716143233070197,0.0155206573013803
LUPP_sketch_cur,80,1,0.001196379166666665,0.002635671617812236,0.002635671617812236,6.325211526946198e-7,0.00383303107496338,0.00144882748029577
LUPP_sketch_cur,120,1,0.00364464583333333,8.619249252482419e-5,8.619249252482419e-5,7.886114744100081e-10,1.4625973989959e-4,5.64623342532693e-5
LUPP_sketch_cur,160,1,0.0050834583333333305,6.617765953056302e-6,6.617765953056302e-6,1.618286137607887e-11,1.63028778281397e-5,3.33828594388548e-6
