sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,39.209734,1000,1000,0.0223446313856907,0.0217625674482979,0.0223446313856603,svds,3e-07,randLOW
2,44.921293,1000,1000,0.0223446313856907,0.0217625674482979,0.0223446313856603,svds,3e-07,randLOW
3,43.406322,1000,1000,0.0223446313856907,0.0217625674482979,0.0223446313856603,svds,3e-07,randLOW
4,40.732507,1000,1000,0.0223446313856907,0.0217625674482979,0.0223446313856603,svds,3e-07,randLOW
5,37.759252,1000,1000,0.0223446313856907,0.0217625674482979,0.0223446313856603,svds,3e-07,randLOW
