sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,12.045589,2000,2000,0.000129450983421634,0.000157746000903095,0.00157292638029809,LUPP_iterative_cur,1e-20,Low_Rank_PD
2,13.969086,2000,2000,0.000925161760175475,0.000142380687134058,0.0261074638288753,LUPP_iterative_cur,1e-20,Low_Rank_PD
3,11.990067,2000,2000,0.00011965419148421,0.000129059391586932,0.000385411728143503,LUPP_iterative_cur,1e-20,Low_Rank_PD
4,11.939592,2000,2000,0.000120659373900701,0.000126306641615214,0.00112103238135,LUPP_iterative_cur,1e-20,Low_Rank_PD
5,12.658464,2000,2000,0.000133569450828646,0.000122667176702478,0.00142861764304823,LUPP_iterative_cur,1e-20,Low_Rank_PD
