sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,139.418272,250,250,3.87002333453275e-09,3.86209390792798e-09,5.16512451464935e-08,svds,3e-07,kahan
2,123.021524,250,250,3.87002333453275e-09,3.86209390792798e-09,5.16512451464935e-08,svds,3e-07,kahan
3,113.964639,250,250,3.87002333453275e-09,3.86209390792798e-09,5.16512451464935e-08,svds,3e-07,kahan
4,95.113312,250,250,3.87002333453275e-09,3.86209390792798e-09,5.16512451464935e-08,svds,3e-07,kahan
5,121.351306,250,250,3.87002333453275e-09,3.86209390792798e-09,5.16512451464935e-08,svds,3e-07,kahan
