sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,5.280508,3000,3000,6.29807801008679e-09,6.29252450775334e-09,6.40724791240027e-09,LUPP_sketch_cur,2e-07,igbt3
2,4.626239,3000,3000,6.30519637896752e-09,6.30582008903124e-09,6.47664884969914e-09,LUPP_sketch_cur,2e-07,igbt3
3,4.281343,3000,3000,6.29119970497838e-09,6.28493949464044e-09,6.40726010287696e-09,LUPP_sketch_cur,2e-07,igbt3
4,3.537494,3000,3000,6.33014044202085e-09,6.32685088098239e-09,6.44826863973508e-09,LUPP_sketch_cur,2e-07,igbt3
5,3.354917,3000,3000,6.21974393819755e-09,6.21573993757761e-09,6.34051698603169e-09,LUPP_sketch_cur,2e-07,igbt3
