sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,79.316623,8750,8750,0.0308209981830394,0.0308209981830394,0.0316316664108539,LUPP_iterative_cur,0.1,bcircuit
2,66.787338,8500,8500,0.0315127161329584,0.0315127161329584,0.0323617917481109,LUPP_iterative_cur,0.1,bcircuit
3,71.574336,8550,8550,0.0313332920833198,0.0313332920833198,0.0321481683264334,LUPP_iterative_cur,0.1,bcircuit
4,74.506955,8625,8625,0.0311719372740009,0.0311719372740009,0.0320316082343363,LUPP_iterative_cur,0.1,bcircuit
5,71.40345,8525,8525,0.0314188260654282,0.0314188260654283,0.0322519080447621,LUPP_iterative_cur,0.1,bcircuit
