sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1175.499587,1150,1150,0.0564349539691593,0.0546081716203651,0.056434953969157,svds,0.1,c-67
2,1032.412138,1150,1150,0.0564349539691593,0.0546081716203651,0.056434953969157,svds,0.1,c-67
3,896.276766,1150,1150,0.0564349539691593,0.0546081716203651,0.056434953969157,svds,0.1,c-67
4,761.583534,1150,1150,0.0564349539691593,0.0546081716203651,0.056434953969157,svds,0.1,c-67
5,559.723809,1150,1150,0.0564349539691593,0.0546081716203651,0.056434953969157,svds,0.1,c-67
