sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,17.220192,2000,2000,0.0234681401728764,0.0234801401259549,0.0235042524502734,LUPP_sketch_cur,2e-07,TSOPF
2,7.306782,2000,2000,0.0234820610603896,0.0234848095993074,0.0235167088219959,LUPP_sketch_cur,2e-07,TSOPF
3,7.534953,2000,2000,0.0234761048562995,0.0234747766926171,0.0235033890871164,LUPP_sketch_cur,2e-07,TSOPF
4,6.165414,2000,2000,0.0234533286685862,0.0234560374481874,0.0234847988675512,LUPP_sketch_cur,2e-07,TSOPF
5,6.280381,2000,2000,0.0234787612070265,0.0234798129207061,0.0234993080169842,LUPP_sketch_cur,2e-07,TSOPF
