sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,15.069157,4000,4000,0.00149660922628885,0.00150970230587345,0.00173084550047517,LUPP_sketch_cur,0.002,c-69
2,15.754146,4000,4000,0.0014982417994913,0.00151246460166406,0.00170071520425908,LUPP_sketch_cur,0.002,c-69
3,16.290116,4000,4000,0.00150245287875249,0.00151385689542507,0.00172027040670109,LUPP_sketch_cur,0.002,c-69
4,16.049843,4000,4000,0.001495175177761,0.00150974546569978,0.00172212229638636,LUPP_sketch_cur,0.002,c-69
5,14.656581,4000,4000,0.00150058320024418,0.00151458326447996,0.001716685964632,LUPP_sketch_cur,0.002,c-69
6,16.0323,4000,4000,0.00149406726771018,0.00150923711526396,0.00171130045283034,LUPP_sketch_cur,0.002,c-69
7,12.89663,4000,4000,0.00149674684955004,0.00151128707714333,0.00170657351663731,LUPP_sketch_cur,0.002,c-69
8,14.204937,4000,4000,0.00149992567788966,0.00151629392311395,0.0017407381563991,LUPP_sketch_cur,0.002,c-69
9,15.821795,4000,4000,0.00150388720938967,0.00151756191261719,0.00172218637766708,LUPP_sketch_cur,0.002,c-69
10,14.638711,4000,4000,0.00150619096699289,0.0015168187582581,0.00173979413656383,LUPP_sketch_cur,0.002,c-69
