sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,189.345703,4000,4000,0.000523014022505678,0.000523014022505678,0.000528571266222534,LUPP_iterative_cur,2e-07,ct20stif
2,193.828484,4000,4000,0.000523458658479995,0.000523458658479995,0.000529344259178948,LUPP_iterative_cur,2e-07,ct20stif
3,176.601495,4000,4000,0.000522934733910972,0.000522934854503084,0.00052869056891035,LUPP_iterative_cur,2e-07,ct20stif
4,170.641364,4000,4000,0.000523012445721162,0.000523012445721161,0.000528792600903351,LUPP_iterative_cur,2e-07,ct20stif
5,164.290968,4000,4000,0.000522660363074302,0.000522660363074302,0.000528595280714893,LUPP_iterative_cur,2e-07,ct20stif
