sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,33.679139,1700,1700,0.00313273630773177,0.00312931209707475,0.00331160241011262,LUPP_iterative_cur,0.01,c-69
2,28.217639,1600,1600,0.00322155598690278,0.00321748893102522,0.00338715610155495,LUPP_iterative_cur,0.01,c-69
3,16.283948,2025,2025,0.00287184413245055,0.00286840839844378,0.00303278100457332,LUPP_iterative_cur,0.01,c-69
4,23.226194,1750,1750,0.00309125406256964,0.00308907250707502,0.00325582362726493,LUPP_iterative_cur,0.01,c-69
5,12.166972,1800,1800,0.00305338609284542,0.00305182092274798,0.00322515755407942,LUPP_iterative_cur,0.01,c-69
