sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,181.002466,2000,2000,0.00173684985097703,0.00173284315493325,0.0146425159564555,LUPP_iterative_cur,1e-20,RandSVD
2,183.764319,2000,2000,0.00174163668209911,0.001732977072848,0.0148078515693168,LUPP_iterative_cur,1e-20,RandSVD
3,180.882579,2000,2000,0.00173140364416335,0.00173429880576529,0.014686284445858,LUPP_iterative_cur,1e-20,RandSVD
4,183.396579,2000,2000,0.00173627642458216,0.00173275971962042,0.0142898483269449,LUPP_iterative_cur,1e-20,RandSVD
5,180.452734,2000,2000,0.00173772912984562,0.00173374183357406,0.0145339044503963,LUPP_iterative_cur,1e-20,RandSVD
