sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,12.581524,1000,1000,0.0929057553051684,0.0929057553051684,0.0929057553163552,LUPP_iterative_cur,3e-07,c-67
2,10.703702,1000,1000,0.0919748731702247,0.0919748731702247,0.0919748731794296,LUPP_iterative_cur,3e-07,c-67
3,12.101386,1000,1000,0.0925894068611743,0.0925894068611743,0.0925894068713106,LUPP_iterative_cur,3e-07,c-67
4,11.816464,1000,1000,0.0922810560681201,0.0922810560681201,0.0922810560772428,LUPP_iterative_cur,3e-07,c-67
5,10.414849,1000,1000,0.0922772747352596,0.0922772747352596,0.0922772747444124,LUPP_iterative_cur,3e-07,c-67
