sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,28.503879,2000,2000,0.0235010262548318,0.0235051908634061,0.0235176754274293,LUPP_iterative_cur,1e-20,TSOPF
2,15.095796,2000,2000,0.0234866540112716,0.0234900817183953,0.0235048241551548,LUPP_iterative_cur,1e-20,TSOPF
3,13.195151,2000,2000,0.0235052806336263,0.0235086890060594,0.0235194279610722,LUPP_iterative_cur,1e-20,TSOPF
4,14.779178,2000,2000,0.0234841592315633,0.0234887394503184,0.0235040760576897,LUPP_iterative_cur,1e-20,TSOPF
5,14.489104,2000,2000,0.0234785621566815,0.0234813564124711,0.0234930444857867,LUPP_iterative_cur,1e-20,TSOPF
