sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,153.20889,1000,1000,0.319505369981629,0.30699818971865,0.319505369981629,svds,2e-07,RandSVD
2,138.312532,1000,1000,0.319505369981629,0.30699818971865,0.319505369981629,svds,2e-07,RandSVD
3,143.116312,1000,1000,0.319505369981629,0.30699818971865,0.319505369981629,svds,2e-07,RandSVD
4,134.13016,1000,1000,0.319505369981629,0.30699818971865,0.319505369981629,svds,2e-07,RandSVD
5,117.315597,1000,1000,0.319505369981629,0.30699818971865,0.319505369981629,svds,2e-07,RandSVD
