sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,21.427024,500,500,3.77942957526318e-09,3.75594223515908e-09,6.04093512952634e-09,LUPP_iterative_cur,3e-07,kahan
2,20.346443,500,500,3.77929807133304e-09,3.75567166808851e-09,5.88622864882699e-09,LUPP_iterative_cur,3e-07,kahan
3,23.597434,500,500,3.77939898976414e-09,3.75637700357022e-09,6.05878300834715e-09,LUPP_iterative_cur,3e-07,kahan
4,23.49772,500,500,3.77939258707447e-09,3.75568741255214e-09,6.16294130334718e-09,LUPP_iterative_cur,3e-07,kahan
5,21.637239,500,500,3.77937805249857e-09,3.75534194413988e-09,6.28098049477394e-09,LUPP_iterative_cur,3e-07,kahan
