sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,12.092218,2000,2000,0.00173202208693983,0.00172448872361157,0.0183077595583824,LUPP_iterative_cur,1e-20,RandSVD
2,13.044047,2000,2000,0.00172726349696141,0.00172927497702512,0.0174236271588752,LUPP_iterative_cur,1e-20,RandSVD
3,11.552519,2000,2000,0.00174011263436768,0.00172884836181879,0.0177862411117728,LUPP_iterative_cur,1e-20,RandSVD
4,11.583995,2000,2000,0.00173485008065934,0.00173495957744356,0.0178300104183828,LUPP_iterative_cur,1e-20,RandSVD
5,11.749941,2000,2000,0.00173166338530032,0.00173554409815314,0.0171173409916716,LUPP_iterative_cur,1e-20,RandSVD
