sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,6.616142,500,500,0.276247306653766,0.291788181746346,0.300528150822756,LUPP_iterative_cur,2e-07,venkat01
2,6.100415,500,500,0.277369402323793,0.29198443190474,0.300827781793097,LUPP_iterative_cur,2e-07,venkat01
3,5.984491,500,500,0.27652911830639,0.293434558585595,0.302320827693232,LUPP_iterative_cur,2e-07,venkat01
4,5.41745,500,500,0.278073354295441,0.293099133517106,0.302180255668709,LUPP_iterative_cur,2e-07,venkat01
5,6.613412,500,500,0.276804624713701,0.291900823362618,0.300180078776137,LUPP_iterative_cur,2e-07,venkat01
