sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,8.712607,500,500,0.341858104736351,0.341858104736351,0.341858104736383,LUPP_sketch_cur,3e-07,c-67
2,8.40598,500,500,0.343334322448531,0.343334322448531,0.343334322448557,LUPP_sketch_cur,3e-07,c-67
3,7.39752,500,500,0.341768999961862,0.341768999961862,0.341768999961903,LUPP_sketch_cur,3e-07,c-67
4,7.232977,500,500,0.342927379148943,0.342927379148943,0.342927379148991,LUPP_sketch_cur,3e-07,c-67
5,7.507896,500,500,0.343362845668069,0.343362845668069,0.343362845668095,LUPP_sketch_cur,3e-07,c-67
