sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,448.54913,3000,3000,0.0228177097926814,0.0227167692621965,0.0228177097926266,svds,2e-07,TSOPF
2,435.006896,3000,3000,0.0228177097926814,0.0227167692621965,0.0228177097926266,svds,2e-07,TSOPF
3,388.519638,3000,3000,0.0228177097926814,0.0227167692621965,0.0228177097926266,svds,2e-07,TSOPF
4,297.618405,3000,3000,0.0228177097926814,0.0227167692621965,0.0228177097926266,svds,2e-07,TSOPF
5,224.301815,3000,3000,0.0228177097926814,0.0227167692621965,0.0228177097926266,svds,2e-07,TSOPF
