sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,10.811903,500,500,0.851394262058491,0.851385700169659,4.55461694140895,LUPP_iterative_cur,2e-07,Low_Rank_PD
2,12.212966,500,500,0.851547600561484,0.85158136989257,4.619978675335,LUPP_iterative_cur,2e-07,Low_Rank_PD
3,13.978445,500,500,0.851577037596276,0.851448335743285,4.48891563324765,LUPP_iterative_cur,2e-07,Low_Rank_PD
4,11.825132,500,500,0.851482641747644,0.851408059113079,4.44289912997073,LUPP_iterative_cur,2e-07,Low_Rank_PD
5,11.205326,500,500,0.851529139117029,0.851441570294182,4.54688849730313,LUPP_iterative_cur,2e-07,Low_Rank_PD
