sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,138.803657,2000,2000,4.66493819493447e-15,4.30642279569039e-15,0,svds,2e-07,Low_Rank
2,282.686477,2000,2000,4.66493819493447e-15,4.30642279569039e-15,0,svds,2e-07,Low_Rank
3,231.568122,2000,2000,4.66493819493447e-15,4.30642279569039e-15,0,svds,2e-07,Low_Rank
4,226.206289,2000,2000,4.66493819493447e-15,4.30642279569039e-15,0,svds,2e-07,Low_Rank
5,198.898022,2000,2000,4.66493819493447e-15,4.30642279569039e-15,0,svds,2e-07,Low_Rank
