sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,6.602856,500,500,0.00122948647466817,0.00122948647466817,0.00123354699106945,LUPP_sketch_cur,2e-07,ct20stif
2,6.207433,500,500,0.0012323372021187,0.0012323372021187,0.00123652304787738,LUPP_sketch_cur,2e-07,ct20stif
3,5.707572,500,500,0.00122915764418615,0.00122915764418615,0.00123339582083128,LUPP_sketch_cur,2e-07,ct20stif
4,5.907155,500,500,0.001232837194616,0.001232837194616,0.00123718945076018,LUPP_sketch_cur,2e-07,ct20stif
5,5.621173,500,500,0.00123018832771709,0.00123018832771709,0.00123406484818254,LUPP_sketch_cur,2e-07,ct20stif
