mat_label,matrix_size,n_cols,LUPP_iterative_cur,LUPP_sketch_cur,svds
venkat01,62424,500,6.100415,6.3122,43.098432
venkat01,62424,1000,10.630175,12.081902,87.191735
venkat01,62424,2000,26.13322,23.342842,166.884858
venkat01,62424,3000,33.462634,26.296733,307.426332
venkat01,62424,4000,66.537988,36.476552,397.231319
