mat_label,matrix_size,n_cols,LUPP_iterative_cur,LUPP_sketch_cur,svds
igbt3,10938,500,1.00864,0.871385,6.92171
igbt3,10938,1000,1.459708,1.526805,13.400136
igbt3,10938,2000,3.123558,5.412386,36.832494
igbt3,10938,3000,8.666271,5.236181,78.9024215
igbt3,10938,4000,10.854275,NA,NA
