n_cols,bs_100,bs_5,bs_50,bs_500
500,7.6042059420377e-4,8.0002293308554e-4,7.6085131768018e-4,7.5938239853632e-4
1000,5.9591278542047e-4,6.000513244251e-4,5.959127723274e-4,5.9591277322345e-4
1500,5.762903119257e-4,5.7867912718961e-4,5.7629030397171e-4,5.7629030558168e-4
2000,5.5597574899893e-4,5.5742504109808e-4,5.5597573928831e-4,5.5597573681588e-4
2500,5.3489021311513e-4,5.3622031796919e-4,5.3489019852511e-4,5.3489016773255e-4
