n_cols,bs_100,bs_5,bs_50,bs_500
500,1.594496,11.512266,2.060336,2.982985
1000,4.271822,46.906872,5.79681,4.397743
1500,7.193287,118.74134,12.084235,5.942339
2000,11.749941,181.002466,22.037689,7.328276
2500,18.068605,302.84953,31.50972,9.130013
