rank,lupp,qr,os,svd,svds
200,0.739884097955393,0.72686349007315,0.787083969193412,0.71553297378714,0.760520447961444
200,0.734615382973936,0.727726360908854,0.788464165745808,0.71553297378714,0.760520447961444
200,0.738163028579195,0.725506230498002,0.790366482230935,0.71553297378714,0.760520447961444
200,0.738496481741088,0.726758452795294,0.79039698309184,0.71553297378714,0.760520447961444
200,0.742325736625292,0.726133264338864,0.809603733012821,0.71553297378714,0.760520447961444
400,0.486077520152213,0.473252818550488,0.557650951235831,0.464752017006719,0.515464232826897
400,0.48172778653433,0.474313633762671,0.562216616479003,0.464752017006719,0.515464232826897
400,0.485045303685523,0.472160267285583,0.565958141336711,0.464752017006719,0.515464232826897
400,0.486390498062776,0.472156912550321,0.555340280276502,0.464752017006719,0.515464232826897
400,0.486269792707113,0.471385861887255,0.559380905600457,0.464752017006719,0.515464232826897
600,0.262609153965701,0.257982571266747,0.321862543054791,0.252978516042324,0.286104884908201
600,0.266966549842543,0.258748955510893,0.31193288627692,0.252978516042324,0.286104884908201
600,0.264649834724715,0.261084710539608,0.316510403508894,0.252978516042324,0.286104884908201
600,0.261939473580455,0.259248498607076,0.308376224877196,0.252978516042324,0.286104884908201
600,0.267067844334393,0.258571645930835,0.316808403433298,0.252978516042324,0.286104884908201
800,0.0958118448069209,0.0919437994687045,0.111689235580843,0.0894405735716086,0.101867472910649
800,0.0938349092642903,0.0917658707557942,0.113445279249909,0.0894405735716086,0.101867472910649
800,0.093761476693234,0.0925205479879671,0.118026498294604,0.0894405735716086,0.101867472910649
800,0.0947566263186961,0.0910729483733932,0.115350679092949,0.0894405735716086,0.101867472910649
800,0.096464017687585,0.0922784744693924,0.10633328628269,0.0894405735716086,0.101867472910649
1000,2.32596780692223e-16,8.18659614068461e-16,1.69219629434995e-15,0,5.30587446158445e-15
1000,2.29790423444104e-16,7.52714086886059e-16,1.67918186947661e-15,0,5.30587446158445e-15
1000,2.31922743508157e-16,7.61024845644011e-16,1.56411853659237e-15,0,5.30587446158445e-15
1000,2.26666042544401e-16,7.88994894876385e-16,1.78864922208748e-15,0,5.30587446158445e-15
1000,2.28334686101053e-16,7.59774312365637e-16,1.70439333176551e-15,0,5.30587446158445e-15
