rank,lupp,qr,os,svd,svds
100,0.934953437896499,0.93924645756371,NaN,0.714268185531449,0.749427610697494
100,0.942300925651014,0.928167147055725,NaN,0.714268185531449,0.749427610697494
100,0.933107526050676,0.934646039092236,NaN,0.714268185531449,0.749427610697494
100,0.947470922733404,0.938021885390349,NaN,0.714268185531449,0.749427610697494
100,0.929095469155134,0.929404703801458,NaN,0.714268185531449,0.749427610697494
200,0.843841789387822,0.860366134304153,NaN,0.584595663476382,0.621006839127175
200,0.863033942673691,0.835285070754463,NaN,0.584595663476382,0.621006839127175
200,0.845202825416453,0.870328250930542,NaN,0.584595663476382,0.621006839127175
200,0.842819570006658,0.860366134304153,NaN,0.584595663476382,0.621006839127175
200,0.844862771962569,0.841796109313397,NaN,0.584595663476382,0.621006839127175
300,0.74932920193568,0.764138760943987,NaN,0.477264453028418,0.524710947663977
300,0.771995473752439,0.734612259912529,NaN,0.477264453028418,0.524710947663977
300,0.767141282376615,0.759990925535662,NaN,0.477264453028418,0.524710947663977
300,0.724370515467161,0.769758881489642,NaN,0.477264453028418,0.524710947663977
300,0.764138760943987,0.758098043578903,NaN,0.477264453028418,0.524710947663977
400,0.679333683011201,0.649933683619682,NaN,0.41187595038392,0.440775591600262
400,0.665660159748097,0.62237956412392,NaN,0.41187595038392,0.440775591600262
400,0.668675135459372,0.671248622079538,NaN,0.41187595038392,0.440775591600262
400,0.649048817744931,0.658280588604383,NaN,0.41187595038392,0.440775591600262
400,0.690244001501785,0.681023570405809,NaN,0.41187595038392,0.440775591600262
500,0.51806447918932,0.549817106476975,NaN,0.334918697801185,0.354245563177918
500,0.531750524860724,0.540859256768509,NaN,0.334918697801185,0.354245563177918
500,0.545093053323567,0.545619967949568,NaN,0.334918697801185,0.354245563177918
500,0.523581828403625,0.552944053622771,NaN,0.334918697801185,0.354245563177918
500,0.54456562886206,0.520278440041882,NaN,0.334918697801185,0.354245563177918
600,0.376004402028524,0.36828274994635,NaN,0.233878750144226,0.248368986435839
600,0.365934483175625,0.352332131708822,NaN,0.233878750144226,0.248368986435839
600,0.376004402028524,0.398992985275243,NaN,0.233878750144226,0.248368986435839
600,0.425481471698382,0.371390676354104,NaN,0.233878750144226,0.248368986435839
600,0.394648104565044,0.379806363247403,NaN,0.233878750144226,0.248368986435839
700,0.0587220219514703,0.0678063503620811,NaN,0.0331300993147281,0.0484925546658129
700,0.10985884360051,0.0958926602970768,NaN,0.0331300993147281,0.0484925546658129
700,0.0719194952228076,0.0896993701844904,NaN,0.0331300993147281,0.0484925546658129
700,0.11497126077676,0.104496603915558,NaN,0.0331300993147281,0.0484925546658129
700,0.0634270329256156,0.0587220219514703,NaN,0.0331300993147281,0.0484925546658129
