rank,lupp,qr,os,svd,svds
100,1.02142703578345,1.00074224479028,1.03759890048698,0.889884577381226,0.903465642036641
100,1.01593045061122,1.0083610975482,1.02636119433093,0.889884577381226,0.903465642036641
100,1.03211855400752,1.01004966052399,1.03399973869372,0.889884577381226,0.903465642036641
100,1.02424301746109,1.00098839597486,1.03127927921215,0.889884577381226,0.903465642036641
100,1.01684260816459,1.00235222162356,1.03187100550014,0.889884577381226,0.903465642036641
300,0.909523542385519,0.880845723747099,0.992201029819097,0.643659529159754,0.69366096970898
300,0.909900929712308,0.884041992713981,0.981552065385151,0.643659529159754,0.69366096970898
300,0.925200999398872,0.880793286682582,0.974373226788542,0.643659529159754,0.69366096970898
300,0.93006668030701,0.887389807945455,0.956496430782568,0.643659529159754,0.69366096970898
300,0.9234480991613,0.882825755715173,0.981628507399861,0.643659529159754,0.69366096970898
500,0.785865679562021,0.769253939372467,0.858402524079077,0.456672065117621,0.500721019802381
500,0.792244191929316,0.75352405142852,0.839245186597458,0.456672065117621,0.500721019802381
500,0.785932148306421,0.765307789332049,0.848884039774282,0.456672065117621,0.500721019802381
500,0.788820170390315,0.769254198295625,0.852590264881945,0.456672065117621,0.500721019802381
500,0.792065669869907,0.764414628647843,0.847554837451721,0.456672065117621,0.500721019802381
700,0.61416513536416,0.596540339487651,0.655742473660008,0.288393956810627,0.328142735855561
700,0.617011346057043,0.603483589915193,0.636679342988998,0.288393956810627,0.328142735855561
700,0.614872656971155,0.598693964130948,0.652428383167319,0.288393956810627,0.328142735855561
700,0.610725691197623,0.597411594840507,0.652968381118497,0.288393956810627,0.328142735855561
700,0.611909494595413,0.601840922142936,0.654476640060188,0.288393956810627,0.328142735855561
900,0.342477258665266,0.344902983446348,0.350738679666856,0.135876813739113,0.159835755367761
900,0.346354481629581,0.33492991893013,0.357345004894821,0.135876813739113,0.159835755367761
900,0.346621544714886,0.341259351929083,0.358084024562947,0.135876813739113,0.159835755367761
900,0.340101997742371,0.339326586245351,0.350856499143681,0.135876813739113,0.159835755367761
900,0.340815241089371,0.343789697642283,0.344758112921936,0.135876813739113,0.159835755367761
