tols,time,accuracy
0.1,1.595564,0.319898914752584
0.01,2.131098,0.0488096453931905
0.001,3.129902,0.00576307868603106
0.0001,4.956558,0.000237706537735684
1e-05,6.320002,2.80584970494817e-05
1e-06,8.128095,3.24615850075568e-06
1e-07,9.808025,3.75253076510994e-07
1e-08,12.109702,3.80072449536509e-08
1e-09,14.268716,4.47371037877167e-09
1e-10,17.127157,4.9567117637176e-10
1e-11,19.294761,5.15231480920869e-11
1e-12,22.203195,5.54031582760197e-12
