mat_label,n_cols,matrix_size,block_size,oversample,metric
Low_Rank_PD,800,20000,200,0,0.34778186722479043
RandSVD,3200,10000,200,0,0.6447075200863973
bayer01,400,57735,200,0,0.28322816795244427
c-67,1500,57975,100,0.2,1.743558848722099
