mat_label,n_cols,matrix_size,block_size,oversample,metric
Low_Rank_PD,800,20000,200,0,19.388057007536517
RandSVD,3200,10000,200,0,6.6827935500361475
bayer01,400,57735,200,0,6.530286677973135
c-67,1500,57975,100,0.2,16.7333074338785
