mat_label,n_cols,matrix_size,block_size,oversample,p_time_svd,p_time_LUPP,p_acc_svd,p_acc_LUPP
Low_Rank_PD,800,20000,200,0,19.388057007536517,0.34778186722479043,-0.9798352602116795,0.7722965214490308
RandSVD,3200,10000,200,0,6.6827935500361475,0.6447075200863973,-0.9832830054763206,0.034188912756739846
bayer01,400,57735,200,0,6.530286677973135,0.28322816795244427,0.03345957159757206,-1.8588037949673197e-4
c-67,1500,57975,100,0.2,16.7333074338785,1.743558848722099,0.0072667468083438234,0.003622607025811081
